id;ovepg
8561100102;24
8561100103;0
8561100104;0
8561100201;84
8561100202;1176
8561100203;0
8561100401;48
8561100402;216
8561100403;12
8561100404;0
8561100405;0
8561100406;0
8561100501;372
8561100503;132
8561100504;300
8561100601;0
8561100702;1476
8561100703;12
8561100704;0
8561100705;0
8561100801;840
8561100802;24
8561100803;60
8561101001;0
8561101003;0
8561101005;0
8561101102;0
8561101104;0
8561101401;192
8561101402;468
8561101403;48
8561101501;1416
8561101502;696
8561101503;156
8561101504;0
8561101507;0
8561101601;60
8561101602;588
8561101801;912
8561101802;2004
8561101803;12
8561101901;60
8561101902;60
8561101903;0
8561101904;0
8561102401;84
8561102402;144
8561102403;24
8561102404;0
8561102405;0
8561102501;60
8561102502;504
8561102503;0
8561102601;36
8561102602;0
8561102603;24
8561102701;1896
8561102705;0
8561103104;0
8561103106;0
8561103301;540
8561103303;13584
8561103307;228
8561103308;0
8561103801;48
8561103802;0
8561103803;0
8561103804;0
8561104001;1872
8561104002;0
8561104003;372
8561104004;0
8561104005;0
8561104006;0
8561104007;0
8561104101;96
8561104301;1812
8561104302;0
8561104303;384
8561104401;0
8561104402;0
8561104404;0
8561104501;0
8561104502;144
8561104503;0
8561104504;0
8561104505;0
8561104601;0
8561104602;60
8561104604;0
8561104801;0
8561104802;0
8561104803;0
8561104804;0
8561104901;216
8561104903;0
8561104904;0
8561105101;0
8561105201;0
8561105202;132
8561105204;0
8561105205;0
8561105301;276
8561105401;0
8561105501;0
8561105502;0
8561105503;0
8561105504;0
8561105505;0
8561105701;0
8561105702;36
8561105703;0
8561105704;0
8561105801;12
8561105802;0
8561105901;0
8561105902;96
8561105903;0
8561106101;180
8561106102;156
8561106103;0
8561106104;0
8561106105;0
8561106301;0
8561106302;0
8561106701;0
8561106702;0
8561106704;0
8561106901;0
8561106902;1956
8561106903;0
8561106904;0
8561107001;60
8561107002;0
8561107003;0
8561107004;0
8561107201;108
8561107202;1236
8561107301;96
8561107302;84
8561107303;0
8561107305;0
8561107501;132
8561107502;0
8561107511;0
8561107701;120
8561107702;2664
8561107704;0
8561107801;132
8561107802;0
8561107803;24
8561107804;0
8561107806;0
8561108001;36
8561108002;0
8561108004;0
8561108005;0
8561108102;5856
8561108103;0
8561108301;324
8561108302;672
8561108303;0
8561108304;0
8561108305;1368
8561108401;0
8561108402;204
8561108403;0
8561108404;0
8561108501;2412
8561108502;0
8561108504;0
8561108506;0
8561108507;0
8561108601;12
8561108603;0
8561108604;0
8561108803;48
8561108901;240
8561108902;0
8561108903;24
8561108904;0
